GAME_ID,home_score_mean,home_score_std,home_score_min,home_score_max,home_score_last_1,home_score_last_2,home_score_last_3,score_margin_mean,score_margin_std,score_margin_min,score_margin_max,score_margin_last_1,score_margin_last_2,score_margin_last_3,pred_outcome_mean,pred_outcome_std,pred_outcome_min,pred_outcome_max,pred_outcome_last_1,pred_outcome_last_2,pred_outcome_last_3,home_win_rate,visitor_win_rate,intercept
21700412,31.88,23.298617984764675,0,63,63,63,61,10.08,11.485364600220578,-6,26,15,20,21,0.7886128693640271,0.2032721343580635,0.414535895957668,0.989354990249228,0.9411335639197508,0.9721948447012132,0.9761346448910672,0.6551724137931035,0.43678160919540227,1
21700417,22.2,13.502592343694598,0,46,46,43,39,-3.36,3.1607594024221455,-8,3,1,0,-4,0.5903212838786476,0.1110726750864443,0.4123420201311614,0.7971872288380517,0.7305454173110257,0.7036690721164639,0.5641585559690736,0.7840909090909091,0.3858267716535433,1
21700422,23.24,15.245405865374657,0,46,46,44,44,6.28,5.063753548505298,-1,18,4,6,7,0.7203504534699108,0.13078933337387644,0.4923232895335698,0.9452882374830134,0.6599009247892852,0.7288662419466445,0.7579615725922935,0.5371900826446281,0.5862068965517241,1
21700427,21.72,12.64759265631211,0,44,44,40,40,-6.88,6.8312224381877655,-18,4,-14,-18,-12,0.34738117847231365,0.2221331265964386,0.07451270278659823,0.7163204207641282,0.12694937501275969,0.07451270278659823,0.16813534822138795,0.4942528735632184,0.4022988505747127,1
21700432,23.12,14.018045512838086,0,46,46,46,46,5.24,2.687452325158532,0,11,6,8,11,0.6937845947874205,0.0804198818439648,0.5214242395272504,0.8436146127469837,0.7117198818024202,0.7730470717390947,0.8436146127469837,0.5053763440860215,0.5862068965517241,1
21700437,29.64,17.529130041162908,0,57,57,57,54,2.08,2.0960916010518242,-2,6,0,3,5,0.7108121342632853,0.06001173243084475,0.5864535018198628,0.8163810789895826,0.6294707720814747,0.7321093585101729,0.7888216527043252,0.632183908045977,0.3678160919540228,1
21700442,20.4,14.821605850919124,0,46,46,45,42,-12.64,4.325551987897036,-19,0,-14,-10,-11,0.14200974709694822,0.10536589432425049,0.049776381920321584,0.5042499385126357,0.09654945600884307,0.16726810852098406,0.1476310944557001,0.5041322314049588,0.6333333333333333,1
21700447,26.56,15.972676669863445,0,52,52,49,49,8.04,3.571890255872932,0,15,8,8,8,0.8149348586314633,0.0832775748552679,0.5946167571020131,0.931683101371758,0.8169269303419519,0.8200464930315147,0.8199136117887516,0.5862068965517241,0.4942528735632184,1
21700452,33.84,20.810920210312663,0,60,60,60,60,12.84,7.8876105380527,-2,23,7,11,16,0.8617153807533363,0.13280036934039094,0.5257750318509457,0.978783580268578,0.7945306523002639,0.8788321436654939,0.9398177777015996,0.5371900826446281,0.4022988505747127,1
21700457,20.6,13.314653581674591,0,47,47,44,40,-11.52,6.567312996956975,-19,0,-17,-16,-16,0.17192884381833565,0.14959405883820068,0.04398807975080283,0.4727419970555333,0.05597602064980958,0.06594763235647567,0.06640859654060174,0.26436781609195403,0.3678160919540228,1
21700462,24.6,13.905394636614957,0,48,48,45,41,4.28,3.280487768610028,-2,11,0,1,0,0.6767095531110111,0.10970693589945342,0.4663855409699656,0.8608528477424827,0.5161871637527434,0.5595480226911338,0.5232903031293978,0.4942528735632184,0.5080645161290323,1
21700467,28.76,18.265333284667978,0,63,63,60,55,1.8,4.8,-6,13,13,12,9,0.47465932934731525,0.15958991767058925,0.21709294822745664,0.8228448410458574,0.8228448410458574,0.8026882591365851,0.7215283154496303,0.3406593406593407,0.632183908045977,1
21700472,19.44,14.899879194141139,0,48,48,46,43,-9.48,4.561754048608934,-18,0,-10,-8,-9,0.2097359268695512,0.11205392498659959,0.05953896572147139,0.5070358293125357,0.16590015586920664,0.21603198443319685,0.1919900464375172,0.3536585365853659,0.4022988505747127,1
21700477,28.32,18.496961912703394,0,59,59,57,53,4.88,5.006555702276766,-3,14,12,14,10,0.7149097142026365,0.13535002118047282,0.4693773262783564,0.915188930612584,0.8862180602541232,0.915188930612584,0.8546975126320709,0.5862068965517241,0.5245901639344263,1
21700482,19.08,12.132336955426188,0,39,39,35,35,-8.68,4.780962246242904,-19,0,-15,-19,-16,0.32422426964150836,0.1476559198775841,0.07956599350744561,0.6306445180341862,0.1350399230634589,0.07956599350744561,0.12041739827948035,0.5041322314049588,0.26436781609195403,1
21700487,30.28,19.167722869449047,0,61,61,61,59,-1.92,2.8414081016284864,-7,4,2,4,3,0.4419508297647382,0.0992183443887207,0.265283278332115,0.6467336249573743,0.570248864949983,0.6467336249573743,0.6116927451269588,0.5172413793103449,0.5862068965517241,1
21700492,29.12,15.219250967113986,0,49,49,49,47,-2.0,3.5777087639996634,-10,5,-10,-8,-6,0.3286257755499017,0.11462718954813611,0.11381806191180747,0.5835372762978454,0.11381806191180747,0.15052676674873045,0.1946491707398029,0.3678160919540228,0.7333333333333333,1
